id_species,identifier_species,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,is_legendary,is_mythical,order,conquest_order,id_gen,main_region_id,identifier_gen
23,ekans,1,,9,7,2,3.0,4,255,70.0,0,20.0,0,2,0,0,0,23,54.0,1,1,generation-i
24,arbok,1,23.0,9,7,2,3.0,4,90,70.0,0,20.0,0,2,0,0,0,24,55.0,1,1,generation-i
25,pikachu,1,172.0,10,10,8,2.0,4,190,50.0,0,10.0,1,2,0,0,0,26,16.0,1,1,generation-i
26,raichu,1,25.0,10,10,6,2.0,4,75,50.0,0,10.0,1,2,0,0,0,27,17.0,1,1,generation-i
27,sandshrew,1,,11,10,6,6.0,4,255,50.0,0,20.0,0,2,0,0,0,28,,1,1,generation-i
28,sandslash,1,27.0,11,10,6,6.0,4,90,50.0,0,20.0,0,2,0,0,0,29,,1,1,generation-i
29,nidoran-f,1,,12,2,8,3.0,8,235,50.0,0,20.0,0,4,0,0,0,30,,1,1,generation-i
30,nidorina,1,29.0,12,2,8,3.0,8,120,50.0,0,20.0,0,4,0,0,0,31,,1,1,generation-i
31,nidoqueen,1,30.0,12,2,6,3.0,8,45,50.0,0,20.0,0,4,0,0,0,32,,1,1,generation-i
32,nidoran-m,1,,13,7,8,3.0,0,235,50.0,0,20.0,0,4,0,0,0,33,,1,1,generation-i
33,nidorino,1,32.0,13,7,8,3.0,0,120,50.0,0,20.0,0,4,0,0,0,34,,1,1,generation-i
34,nidoking,1,33.0,13,7,6,3.0,0,45,50.0,0,20.0,0,4,0,0,0,35,,1,1,generation-i
35,clefairy,1,173.0,14,6,6,4.0,6,150,140.0,0,10.0,0,3,0,0,0,37,,1,1,generation-i
36,clefable,1,35.0,14,6,6,4.0,6,25,140.0,0,10.0,0,3,0,0,0,38,,1,1,generation-i
37,vulpix,1,,15,3,8,3.0,6,190,50.0,0,20.0,0,2,0,0,0,39,,1,1,generation-i
38,ninetales,1,37.0,15,10,8,3.0,6,75,50.0,0,20.0,0,2,0,0,0,40,,1,1,generation-i
39,jigglypuff,1,174.0,16,6,12,3.0,6,170,50.0,0,10.0,0,3,0,0,0,42,21.0,1,1,generation-i
40,wigglytuff,1,39.0,16,6,12,3.0,6,50,50.0,0,10.0,0,3,0,0,0,43,22.0,1,1,generation-i
41,zubat,1,,17,7,9,1.0,4,255,50.0,0,15.0,1,2,0,0,0,44,23.0,1,1,generation-i
42,golbat,1,41.0,17,7,9,1.0,4,90,50.0,0,15.0,1,2,0,0,0,45,24.0,1,1,generation-i
43,oddish,1,,18,2,7,3.0,4,255,50.0,0,20.0,0,4,0,0,0,47,,1,1,generation-i
44,gloom,1,43.0,18,2,12,3.0,4,120,50.0,0,20.0,1,4,0,0,0,48,,1,1,generation-i
45,vileplume,1,44.0,18,8,12,3.0,4,45,50.0,0,20.0,1,4,0,0,0,49,,1,1,generation-i
46,paras,1,,19,8,14,2.0,4,190,70.0,0,20.0,0,2,0,0,0,51,,1,1,generation-i
47,parasect,1,46.0,19,8,14,2.0,4,75,70.0,0,20.0,0,2,0,0,0,52,,1,1,generation-i
48,venonat,1,,20,7,12,2.0,4,190,70.0,0,20.0,0,2,0,0,0,53,,1,1,generation-i
49,venomoth,1,48.0,20,7,13,2.0,4,75,70.0,0,20.0,0,2,0,0,0,54,,1,1,generation-i
50,diglett,1,,21,3,5,1.0,4,255,50.0,0,20.0,0,2,0,0,0,55,,1,1,generation-i
51,dugtrio,1,50.0,21,3,11,1.0,4,50,50.0,0,20.0,0,2,0,0,0,56,,1,1,generation-i
52,meowth,1,,22,10,8,8.0,4,255,50.0,0,20.0,0,2,0,0,0,57,58.0,1,1,generation-i
53,persian,1,52.0,22,10,8,8.0,4,90,50.0,0,20.0,0,2,0,0,0,58,59.0,1,1,generation-i
54,psyduck,1,,23,10,6,9.0,4,190,50.0,0,20.0,0,2,0,0,0,59,,1,1,generation-i
55,golduck,1,54.0,23,2,6,9.0,4,75,50.0,0,20.0,0,2,0,0,0,60,,1,1,generation-i
56,mankey,1,,24,3,6,4.0,4,190,70.0,0,20.0,0,2,0,0,0,61,,1,1,generation-i
57,primeape,1,56.0,24,3,6,4.0,4,75,70.0,0,20.0,0,2,0,0,0,62,,1,1,generation-i
58,growlithe,1,,25,3,8,3.0,2,190,50.0,0,20.0,0,1,0,0,0,63,,1,1,generation-i
59,arcanine,1,58.0,25,3,8,3.0,2,75,50.0,0,20.0,0,1,0,0,0,64,,1,1,generation-i
60,poliwag,1,,26,2,7,9.0,4,255,50.0,0,20.0,0,4,0,0,0,65,,1,1,generation-i
61,poliwhirl,1,60.0,26,2,12,9.0,4,120,50.0,0,20.0,0,4,0,0,0,66,,1,1,generation-i
62,poliwrath,1,61.0,26,2,12,9.0,4,45,50.0,0,20.0,0,4,0,0,0,67,,1,1,generation-i
63,abra,1,,27,3,6,8.0,2,200,50.0,0,20.0,0,4,0,0,0,69,127.0,1,1,generation-i
64,kadabra,1,63.0,27,3,6,8.0,2,100,50.0,0,20.0,1,4,0,0,0,70,128.0,1,1,generation-i
65,alakazam,1,64.0,27,3,12,8.0,2,50,50.0,0,20.0,1,4,1,0,0,71,129.0,1,1,generation-i
66,machop,1,,28,4,6,4.0,2,180,50.0,0,20.0,0,4,0,0,0,72,98.0,1,1,generation-i
67,machoke,1,66.0,28,4,12,4.0,2,90,50.0,0,20.0,0,4,0,0,0,73,99.0,1,1,generation-i
68,machamp,1,67.0,28,4,12,4.0,2,45,50.0,0,20.0,0,4,0,0,0,74,100.0,1,1,generation-i
69,bellsprout,1,,29,5,12,2.0,4,255,70.0,0,20.0,0,4,0,0,0,75,,1,1,generation-i
70,weepinbell,1,69.0,29,5,5,2.0,4,120,70.0,0,20.0,0,4,0,0,0,76,,1,1,generation-i
71,victreebel,1,70.0,29,5,5,2.0,4,45,70.0,0,20.0,0,4,0,0,0,77,,1,1,generation-i
72,tentacool,1,,30,2,10,7.0,4,190,50.0,0,20.0,0,1,0,0,0,78,,1,1,generation-i
73,tentacruel,1,72.0,30,2,10,7.0,4,60,50.0,0,20.0,0,1,0,0,0,79,,1,1,generation-i
74,geodude,1,,31,3,4,4.0,4,255,70.0,0,15.0,0,4,0,0,0,80,,1,1,generation-i
75,graveler,1,74.0,31,3,12,4.0,4,120,70.0,0,15.0,0,4,0,0,0,81,,1,1,generation-i
76,golem,1,75.0,31,3,12,4.0,4,45,70.0,0,15.0,0,4,0,0,0,82,,1,1,generation-i
77,ponyta,1,,32,10,8,3.0,4,190,50.0,0,20.0,0,2,0,0,0,83,,1,1,generation-i
78,rapidash,1,77.0,32,10,8,3.0,4,60,50.0,0,20.0,0,2,0,0,0,84,,1,1,generation-i
79,slowpoke,1,,33,6,8,9.0,4,190,50.0,0,20.0,0,2,0,0,0,85,,1,1,generation-i
80,slowbro,1,79.0,33,6,6,9.0,4,75,50.0,0,20.0,0,2,1,0,0,86,,1,1,generation-i
81,magnemite,1,,34,4,4,6.0,-1,190,50.0,0,20.0,0,2,0,0,0,88,,1,1,generation-i
82,magneton,1,81.0,34,4,11,6.0,-1,60,50.0,0,20.0,0,2,0,0,0,89,,1,1,generation-i
83,farfetchd,1,,35,3,9,3.0,4,45,50.0,0,20.0,0,2,0,0,0,91,,1,1,generation-i
84,doduo,1,,36,3,7,3.0,4,190,70.0,0,20.0,1,2,0,0,0,92,,1,1,generation-i
85,dodrio,1,84.0,36,3,7,3.0,4,45,70.0,0,20.0,1,2,0,0,0,93,,1,1,generation-i
86,seel,1,,37,9,3,7.0,4,190,70.0,0,20.0,0,2,0,0,0,94,,1,1,generation-i
87,dewgong,1,86.0,37,9,3,7.0,4,75,70.0,0,20.0,0,2,0,0,0,95,,1,1,generation-i
88,grimer,1,,38,7,4,8.0,4,190,70.0,0,20.0,0,2,0,0,0,96,,1,1,generation-i
89,muk,1,88.0,38,7,4,8.0,4,75,70.0,0,20.0,0,2,0,0,0,97,,1,1,generation-i
90,shellder,1,,39,7,1,7.0,4,190,50.0,0,20.0,0,1,0,0,0,98,,1,1,generation-i
91,cloyster,1,90.0,39,7,1,7.0,4,60,50.0,0,20.0,0,1,0,0,0,99,,1,1,generation-i
92,gastly,1,,40,7,1,1.0,4,190,50.0,0,20.0,0,4,0,0,0,100,112.0,1,1,generation-i
93,haunter,1,92.0,40,7,4,1.0,4,90,50.0,0,20.0,0,4,0,0,0,101,113.0,1,1,generation-i
94,gengar,1,93.0,40,7,6,1.0,4,45,50.0,0,20.0,0,4,1,0,0,102,114.0,1,1,generation-i
95,onix,1,,41,4,2,1.0,4,45,50.0,0,25.0,0,2,0,0,0,103,175.0,1,1,generation-i
96,drowzee,1,,42,10,12,3.0,4,190,70.0,0,20.0,0,2,0,0,0,105,,1,1,generation-i
97,hypno,1,96.0,42,10,12,3.0,4,75,70.0,0,20.0,1,2,0,0,0,106,,1,1,generation-i
98,krabby,1,,43,8,14,9.0,4,225,50.0,0,20.0,0,2,0,0,0,107,,1,1,generation-i
99,kingler,1,98.0,43,8,14,9.0,4,60,50.0,0,20.0,0,2,0,0,0,108,,1,1,generation-i
100,voltorb,1,,44,8,1,8.0,-1,190,70.0,0,20.0,0,2,0,0,0,109,,1,1,generation-i
101,electrode,1,100.0,44,8,1,8.0,-1,60,70.0,0,20.0,0,2,0,0,0,110,,1,1,generation-i
102,exeggcute,1,,45,6,11,2.0,4,90,50.0,0,20.0,0,1,0,0,0,111,,1,1,generation-i
103,exeggutor,1,102.0,45,10,7,2.0,4,45,50.0,0,20.0,0,1,0,0,0,112,,1,1,generation-i
104,cubone,1,,46,3,6,4.0,4,190,50.0,0,20.0,0,2,0,0,0,113,,1,1,generation-i
105,marowak,1,104.0,46,3,6,4.0,4,75,50.0,0,20.0,0,2,0,0,0,114,,1,1,generation-i
106,hitmonlee,1,236.0,47,3,12,8.0,0,45,50.0,0,25.0,0,2,0,0,0,116,,1,1,generation-i
107,hitmonchan,1,236.0,47,3,12,8.0,0,45,50.0,0,25.0,0,2,0,0,0,117,,1,1,generation-i
108,lickitung,1,,48,6,6,3.0,4,45,50.0,0,20.0,0,2,0,0,0,119,,1,1,generation-i
109,koffing,1,,49,7,1,8.0,4,190,50.0,0,20.0,0,2,0,0,0,121,,1,1,generation-i
110,weezing,1,109.0,49,7,11,8.0,4,60,50.0,0,20.0,0,2,0,0,0,122,,1,1,generation-i
111,rhyhorn,1,,50,4,8,6.0,4,120,50.0,0,20.0,1,1,0,0,0,123,160.0,1,1,generation-i
112,rhydon,1,111.0,50,4,6,6.0,4,60,50.0,0,20.0,1,1,0,0,0,124,161.0,1,1,generation-i
113,chansey,1,440.0,51,6,6,8.0,8,30,140.0,0,40.0,0,3,0,0,0,127,,1,1,generation-i
114,tangela,1,,52,2,7,3.0,4,45,50.0,0,20.0,0,2,0,0,0,129,,1,1,generation-i
115,kangaskhan,1,,53,3,6,3.0,8,45,50.0,0,20.0,0,2,1,0,0,131,,1,1,generation-i
116,horsea,1,,54,2,5,7.0,4,225,50.0,0,20.0,0,2,0,0,0,132,,1,1,generation-i
117,seadra,1,116.0,54,2,5,7.0,4,75,50.0,0,20.0,0,2,0,0,0,133,,1,1,generation-i
118,goldeen,1,,55,8,3,9.0,4,225,50.0,0,20.0,1,2,0,0,0,135,,1,1,generation-i
119,seaking,1,118.0,55,8,3,9.0,4,60,50.0,0,20.0,1,2,0,0,0,136,,1,1,generation-i
120,staryu,1,,56,3,5,7.0,-1,225,50.0,0,20.0,0,1,0,0,0,137,,1,1,generation-i
121,starmie,1,120.0,56,7,5,7.0,-1,60,50.0,0,20.0,0,1,0,0,0,138,,1,1,generation-i
122,mr-mime,1,439.0,57,6,12,8.0,4,45,50.0,0,25.0,0,2,0,0,0,140,,1,1,generation-i
123,scyther,1,,58,5,13,3.0,4,45,50.0,0,25.0,1,2,0,0,0,141,188.0,1,1,generation-i
124,jynx,1,238.0,59,8,12,8.0,8,45,50.0,0,25.0,0,2,0,0,0,144,,1,1,generation-i
125,electabuzz,1,239.0,60,10,6,3.0,2,45,50.0,0,25.0,0,2,0,0,0,146,,1,1,generation-i
126,magmar,1,240.0,61,8,6,4.0,2,45,50.0,0,25.0,0,2,0,0,0,149,,1,1,generation-i
127,pinsir,1,,62,3,12,2.0,4,45,50.0,0,25.0,0,1,1,0,0,151,,1,1,generation-i
128,tauros,1,,63,3,8,3.0,0,45,50.0,0,20.0,0,1,0,0,0,152,,1,1,generation-i
129,magikarp,1,,64,8,3,9.0,4,255,50.0,0,5.0,1,1,0,0,0,153,13.0,1,1,generation-i
130,gyarados,1,129.0,64,2,2,9.0,4,45,50.0,0,5.0,1,1,1,0,0,154,14.0,1,1,generation-i
131,lapras,1,,65,2,3,7.0,4,45,50.0,0,40.0,0,1,0,0,0,155,190.0,1,1,generation-i
132,ditto,1,,66,7,1,8.0,-1,35,50.0,0,20.0,0,2,0,0,0,156,,1,1,generation-i
133,eevee,1,,67,3,8,8.0,1,45,50.0,0,35.0,1,2,0,0,0,157,1.0,1,1,generation-i
134,vaporeon,1,133.0,67,2,8,8.0,1,45,50.0,0,35.0,0,2,0,0,0,158,2.0,1,1,generation-i
135,jolteon,1,133.0,67,10,8,8.0,1,45,50.0,0,35.0,0,2,0,0,0,159,3.0,1,1,generation-i
136,flareon,1,133.0,67,8,8,8.0,1,45,50.0,0,35.0,0,2,0,0,0,160,4.0,1,1,generation-i
137,porygon,1,,68,6,7,8.0,-1,45,50.0,0,20.0,0,2,0,0,0,166,,1,1,generation-i
138,omanyte,1,,69,2,10,7.0,1,45,50.0,0,30.0,0,2,0,0,0,169,,1,1,generation-i
139,omastar,1,138.0,69,2,10,7.0,1,45,50.0,0,30.0,0,2,0,0,0,170,,1,1,generation-i
140,kabuto,1,,70,3,14,7.0,1,45,50.0,0,30.0,0,2,0,0,0,171,,1,1,generation-i
141,kabutops,1,140.0,70,3,6,7.0,1,45,50.0,0,30.0,0,2,0,0,0,172,,1,1,generation-i
142,aerodactyl,1,,71,7,9,4.0,1,45,50.0,0,35.0,0,1,1,0,0,173,,1,1,generation-i
143,snorlax,1,446.0,72,1,12,4.0,1,25,50.0,0,40.0,0,1,0,0,0,175,179.0,1,1,generation-i
144,articuno,1,,73,2,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,176,192.0,1,1,generation-i
145,zapdos,1,,74,10,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,177,,1,1,generation-i
146,moltres,1,,75,10,9,5.0,-1,3,35.0,0,80.0,0,1,0,1,0,178,,1,1,generation-i
147,dratini,1,,76,2,2,9.0,4,45,35.0,0,40.0,0,1,0,0,0,179,76.0,1,1,generation-i
148,dragonair,1,147.0,76,2,2,9.0,4,45,35.0,0,40.0,0,1,0,0,0,180,77.0,1,1,generation-i
149,dragonite,1,148.0,76,3,6,9.0,4,45,35.0,0,40.0,0,1,0,0,0,181,78.0,1,1,generation-i
150,mewtwo,1,,77,7,6,5.0,-1,3,0.0,0,120.0,0,1,1,1,0,182,196.0,1,1,generation-i
151,mew,1,,78,6,6,5.0,-1,45,100.0,0,120.0,0,4,0,0,1,183,,1,1,generation-i
152,chikorita,2,,79,5,8,3.0,1,45,70.0,0,20.0,0,4,0,0,0,184,,2,2,generation-ii
153,bayleef,2,152.0,79,5,8,3.0,1,45,70.0,0,20.0,0,4,0,0,0,185,,2,2,generation-ii
154,meganium,2,153.0,79,5,8,3.0,1,45,70.0,0,20.0,1,4,0,0,0,186,,2,2,generation-ii
155,cyndaquil,2,,80,10,12,3.0,1,45,70.0,0,20.0,0,4,0,0,0,187,,2,2,generation-ii
156,quilava,2,155.0,80,10,8,3.0,1,45,70.0,0,20.0,0,4,0,0,0,188,,2,2,generation-ii
157,typhlosion,2,156.0,80,10,8,3.0,1,45,70.0,0,20.0,0,4,0,0,0,189,,2,2,generation-ii
158,totodile,2,,81,2,6,9.0,1,45,70.0,0,20.0,0,4,0,0,0,190,,2,2,generation-ii
159,croconaw,2,158.0,81,2,6,9.0,1,45,70.0,0,20.0,0,4,0,0,0,191,,2,2,generation-ii
160,feraligatr,2,159.0,81,2,6,9.0,1,45,70.0,0,20.0,0,4,0,0,0,192,,2,2,generation-ii
161,sentret,2,,82,3,8,3.0,4,255,70.0,0,15.0,0,2,0,0,0,193,,2,2,generation-ii
162,furret,2,161.0,82,3,8,3.0,4,90,70.0,0,15.0,0,2,0,0,0,194,,2,2,generation-ii
163,hoothoot,2,,83,3,9,2.0,4,255,50.0,0,15.0,0,2,0,0,0,195,,2,2,generation-ii
164,noctowl,2,163.0,83,3,9,2.0,4,90,50.0,0,15.0,0,2,0,0,0,196,,2,2,generation-ii
165,ledyba,2,,84,8,9,2.0,4,255,70.0,0,15.0,1,3,0,0,0,197,,2,2,generation-ii
166,ledian,2,165.0,84,8,9,2.0,4,90,70.0,0,15.0,1,3,0,0,0,198,,2,2,generation-ii
167,spinarak,2,,85,5,14,2.0,4,255,70.0,0,15.0,0,3,0,0,0,199,,2,2,generation-ii
168,ariados,2,167.0,85,8,14,2.0,4,90,70.0,0,15.0,0,3,0,0,0,200,,2,2,generation-ii
169,crobat,2,42.0,17,7,13,1.0,4,90,50.0,0,15.0,0,2,0,0,0,46,25.0,2,2,generation-ii
170,chinchou,2,,86,2,3,7.0,4,190,50.0,0,20.0,0,1,0,0,0,201,,2,2,generation-ii
171,lanturn,2,170.0,86,2,3,7.0,4,75,50.0,0,20.0,0,1,0,0,0,202,,2,2,generation-ii
172,pichu,2,,10,10,8,2.0,4,190,50.0,1,10.0,0,2,0,0,0,25,15.0,2,2,generation-ii
173,cleffa,2,,14,6,6,4.0,6,150,140.0,1,10.0,0,3,0,0,0,36,,2,2,generation-ii
174,igglybuff,2,,16,6,12,3.0,6,170,50.0,1,10.0,0,3,0,0,0,41,20.0,2,2,generation-ii
175,togepi,2,,87,9,12,2.0,1,190,50.0,1,10.0,0,3,0,0,0,203,,2,2,generation-ii
176,togetic,2,175.0,87,9,12,2.0,1,75,50.0,0,10.0,0,3,0,0,0,204,,2,2,generation-ii
177,natu,2,,88,5,9,2.0,4,190,50.0,0,20.0,0,2,0,0,0,206,,2,2,generation-ii
178,xatu,2,177.0,88,5,9,2.0,4,75,50.0,0,20.0,1,2,0,0,0,207,,2,2,generation-ii
179,mareep,2,,89,9,8,3.0,4,235,70.0,0,20.0,0,4,0,0,0,208,45.0,2,2,generation-ii
180,flaaffy,2,179.0,89,6,6,3.0,4,120,70.0,0,20.0,0,4,0,0,0,209,46.0,2,2,generation-ii
181,ampharos,2,180.0,89,10,6,3.0,4,45,70.0,0,20.0,0,4,1,0,0,210,47.0,2,2,generation-ii
182,bellossom,2,44.0,18,5,12,3.0,4,45,50.0,0,20.0,0,4,0,0,0,50,,2,2,generation-ii
183,marill,2,298.0,90,2,6,9.0,4,190,50.0,0,10.0,0,3,0,0,0,212,,2,2,generation-ii
184,azumarill,2,183.0,90,2,6,9.0,4,75,50.0,0,10.0,0,3,0,0,0,213,,2,2,generation-ii
185,sudowoodo,2,438.0,91,3,12,2.0,4,65,50.0,0,20.0,1,2,0,0,0,215,,2,2,generation-ii
186,politoed,2,61.0,26,5,12,9.0,4,45,50.0,0,20.0,1,4,0,0,0,68,,2,2,generation-ii
187,hoppip,2,,92,6,6,3.0,4,255,70.0,0,20.0,0,4,0,0,0,216,,2,2,generation-ii
188,skiploom,2,187.0,92,5,6,3.0,4,120,70.0,0,20.0,0,4,0,0,0,217,,2,2,generation-ii
189,jumpluff,2,188.0,92,2,6,3.0,4,45,70.0,0,20.0,0,4,0,0,0,218,,2,2,generation-ii
190,aipom,2,,93,7,6,2.0,4,45,70.0,0,20.0,1,3,0,0,0,219,,2,2,generation-ii
191,sunkern,2,,94,10,1,3.0,4,235,70.0,0,20.0,0,4,0,0,0,221,,2,2,generation-ii
192,sunflora,2,191.0,94,10,12,3.0,4,120,70.0,0,20.0,0,4,0,0,0,222,,2,2,generation-ii
193,yanma,2,,95,8,13,2.0,4,75,70.0,0,20.0,0,2,0,0,0,223,,2,2,generation-ii
194,wooper,2,,96,2,7,9.0,4,255,50.0,0,20.0,1,2,0,0,0,225,18.0,2,2,generation-ii
195,quagsire,2,194.0,96,2,6,9.0,4,90,50.0,0,20.0,1,2,0,0,0,226,19.0,2,2,generation-ii
196,espeon,2,133.0,67,7,8,8.0,1,45,50.0,0,35.0,0,2,0,0,0,161,5.0,2,2,generation-ii
197,umbreon,2,133.0,67,1,8,8.0,1,45,35.0,0,35.0,0,2,0,0,0,162,6.0,2,2,generation-ii
198,murkrow,2,,97,1,9,2.0,4,30,35.0,0,20.0,1,4,0,0,0,227,,2,2,generation-ii
199,slowking,2,79.0,33,6,6,9.0,4,70,50.0,0,20.0,0,2,0,0,0,87,,2,2,generation-ii
200,misdreavus,2,,98,4,1,1.0,4,45,35.0,0,25.0,0,3,0,0,0,229,183.0,2,2,generation-ii
201,unown,2,,99,1,1,5.0,-1,225,70.0,0,40.0,0,2,0,0,0,231,,2,2,generation-ii
202,wobbuffet,2,360.0,100,2,5,1.0,4,45,50.0,0,20.0,1,2,0,0,0,233,,2,2,generation-ii
203,girafarig,2,,101,10,8,3.0,4,60,70.0,0,20.0,1,2,0,0,0,234,,2,2,generation-ii
204,pineco,2,,102,4,1,2.0,4,190,70.0,0,20.0,0,2,0,0,0,235,56.0,2,2,generation-ii
205,forretress,2,204.0,102,7,1,2.0,4,75,70.0,0,20.0,0,2,0,0,0,236,57.0,2,2,generation-ii
206,dunsparce,2,,103,10,2,1.0,4,190,50.0,0,20.0,0,2,0,0,0,237,,2,2,generation-ii
207,gligar,2,,104,7,9,4.0,4,60,70.0,0,20.0,1,4,0,0,0,238,,2,2,generation-ii
208,steelix,2,95.0,41,4,2,1.0,4,25,50.0,0,25.0,1,2,1,0,0,104,176.0,2,2,generation-ii
209,snubbull,2,,105,6,12,8.0,6,190,70.0,0,20.0,0,3,0,0,0,240,,2,2,generation-ii
210,granbull,2,209.0,105,7,6,8.0,6,75,70.0,0,20.0,0,3,0,0,0,241,,2,2,generation-ii
211,qwilfish,2,,106,4,3,7.0,4,45,50.0,0,20.0,0,2,0,0,0,242,,2,2,generation-ii
212,scizor,2,123.0,58,8,13,3.0,4,25,50.0,0,25.0,1,2,1,0,0,142,189.0,2,2,generation-ii
213,shuckle,2,,107,10,14,4.0,4,190,50.0,0,20.0,0,4,0,0,0,243,,2,2,generation-ii
214,heracross,2,,108,2,12,2.0,4,45,50.0,0,25.0,1,1,1,0,0,244,,2,2,generation-ii
215,sneasel,2,,109,1,6,2.0,4,60,35.0,0,20.0,1,4,0,0,0,245,181.0,2,2,generation-ii
216,teddiursa,2,,110,3,6,4.0,4,120,70.0,0,20.0,0,2,0,0,0,247,,2,2,generation-ii
217,ursaring,2,216.0,110,3,6,4.0,4,60,70.0,0,20.0,1,2,0,0,0,248,,2,2,generation-ii
218,slugma,2,,111,8,2,4.0,4,190,70.0,0,20.0,0,2,0,0,0,249,,2,2,generation-ii
219,magcargo,2,218.0,111,8,2,4.0,4,75,70.0,0,20.0,0,2,0,0,0,250,,2,2,generation-ii
220,swinub,2,,112,3,8,1.0,4,225,50.0,0,20.0,0,1,0,0,0,251,,2,2,generation-ii
221,piloswine,2,220.0,112,3,8,1.0,4,75,50.0,0,20.0,1,1,0,0,0,252,,2,2,generation-ii
222,corsola,2,,113,6,14,7.0,6,60,50.0,0,20.0,0,3,0,0,0,254,,2,2,generation-ii
223,remoraid,2,,114,4,3,7.0,4,190,50.0,0,20.0,0,2,0,0,0,255,,2,2,generation-ii
224,octillery,2,223.0,114,8,10,7.0,4,75,50.0,0,20.0,1,2,0,0,0,256,,2,2,generation-ii
225,delibird,2,,115,8,9,4.0,4,45,50.0,0,20.0,0,3,0,0,0,257,,2,2,generation-ii
226,mantine,2,458.0,116,7,9,7.0,4,25,50.0,0,25.0,0,1,0,0,0,259,,2,2,generation-ii
227,skarmory,2,,117,4,9,6.0,4,25,50.0,0,25.0,0,1,0,0,0,260,,2,2,generation-ii
228,houndour,2,,118,1,8,6.0,4,120,35.0,0,20.0,0,1,0,0,0,261,,2,2,generation-ii
229,houndoom,2,228.0,118,1,8,6.0,4,45,35.0,0,20.0,1,1,1,0,0,262,,2,2,generation-ii
230,kingdra,2,117.0,54,2,5,7.0,4,45,50.0,0,20.0,0,2,0,0,0,134,,2,2,generation-ii
231,phanpy,2,,119,2,8,6.0,4,120,70.0,0,20.0,0,2,0,0,0,263,,2,2,generation-ii
232,donphan,2,231.0,119,4,8,6.0,4,60,70.0,0,20.0,1,2,0,0,0,264,,2,2,generation-ii
233,porygon2,2,137.0,68,8,7,8.0,-1,45,50.0,0,20.0,0,2,0,0,0,167,,2,2,generation-ii
234,stantler,2,,120,3,8,2.0,4,45,70.0,0,20.0,0,1,0,0,0,265,,2,2,generation-ii
