pokemon_name,base_experience,primary_color
bonsly,58,brown
mime-jr,62,pink
happiny,110,pink
chatot,144,black
spiritomb,170,purple
gible,60,blue
gabite,144,blue
garchomp,300,blue
munchlax,78,black
riolu,57,blue
lucario,184,blue
hippopotas,66,brown
hippowdon,184,brown
skorupi,66,purple
drapion,175,purple
croagunk,60,blue
toxicroak,172,blue
carnivine,159,green
finneon,66,blue
lumineon,161,blue
mantyke,69,blue
snover,67,white
abomasnow,173,white
weavile,179,black
magnezone,268,gray
lickilicky,180,pink
rhyperior,268,gray
tangrowth,187,blue
electivire,270,yellow
magmortar,270,red
togekiss,273,white
yanmega,180,green
leafeon,184,green
glaceon,184,blue
gliscor,179,purple
mamoswine,265,brown
porygon-z,268,red
gallade,259,white
probopass,184,gray
dusknoir,263,black
froslass,168,white
rotom,154,red
uxie,290,yellow
mesprit,290,pink
azelf,290,blue
dialga,340,white
palkia,340,purple
heatran,300,brown
regigigas,335,white
giratina-altered,340,black
cresselia,300,yellow
phione,216,blue
manaphy,270,blue
darkrai,270,black
shaymin-land,270,green
arceus,324,white
victini,300,yellow
snivy,62,green
servine,145,green
serperior,238,green
tepig,62,red
pignite,146,red
emboar,238,red
oshawott,62,blue
dewott,145,blue
samurott,238,blue
patrat,51,brown
watchog,147,brown
lillipup,55,brown
herdier,130,gray
stoutland,250,gray
purrloin,56,purple
liepard,156,purple
pansage,63,green
simisage,174,green
pansear,63,red
simisear,174,red
panpour,63,blue
simipour,174,blue
munna,58,pink
musharna,170,pink
pidove,53,gray
tranquill,125,gray
unfezant,244,gray
blitzle,59,black
zebstrika,174,black
roggenrola,56,blue
boldore,137,blue
gigalith,258,blue
woobat,65,blue
swoobat,149,blue
drilbur,66,gray
excadrill,178,gray
audino,390,pink
timburr,61,gray
gurdurr,142,gray
conkeldurr,253,brown
tympole,59,blue
palpitoad,134,blue
seismitoad,255,blue
throh,163,red
sawk,163,blue
sewaddle,62,yellow
swadloon,133,green
leavanny,225,yellow
venipede,52,red
whirlipede,126,gray
scolipede,243,red
cottonee,56,green
whimsicott,168,green
petilil,56,green
lilligant,168,green
basculin-red-striped,161,green
sandile,58,brown
krokorok,123,brown
krookodile,260,red
darumaka,63,red
darmanitan-standard,168,red
maractus,161,green
dwebble,65,red
crustle,170,red
scraggy,70,yellow
scrafty,171,red
sigilyph,172,black
yamask,61,black
cofagrigus,169,yellow
tirtouga,71,blue
carracosta,173,blue
archen,71,yellow
archeops,177,yellow
trubbish,66,green
garbodor,166,green
zorua,66,gray
zoroark,179,gray
minccino,60,gray
cinccino,165,gray
gothita,58,purple
gothorita,137,purple
gothitelle,245,purple
solosis,58,green
duosion,130,green
reuniclus,245,green
ducklett,61,blue
swanna,166,white
vanillite,61,white
vanillish,138,white
vanilluxe,268,white
deerling,67,pink
sawsbuck,166,brown
emolga,150,white
karrablast,63,blue
escavalier,173,gray
foongus,59,white
amoonguss,162,white
frillish,67,white
jellicent,168,white
alomomola,165,pink
joltik,64,yellow
galvantula,165,yellow
ferroseed,61,gray
ferrothorn,171,gray
klink,60,gray
klang,154,gray
klinklang,260,gray
tynamo,55,white
eelektrik,142,blue
eelektross,232,blue
elgyem,67,blue
beheeyem,170,brown
litwick,55,white
lampent,130,black
chandelure,260,black
axew,64,green
fraxure,144,green
haxorus,270,yellow
cubchoo,61,white
beartic,177,white
cryogonal,180,blue
shelmet,61,red
accelgor,173,red
stunfisk,165,brown
mienfoo,70,yellow
mienshao,179,purple
druddigon,170,red
golett,61,green
golurk,169,green
pawniard,68,red
bisharp,172,red
bouffalant,172,brown
rufflet,70,white
braviary,179,red
vullaby,74,brown
mandibuzz,179,brown
heatmor,169,red
durant,169,gray
deino,60,blue
zweilous,147,blue
hydreigon,300,blue
larvesta,72,white
volcarona,275,white
cobalion,290,blue
terrakion,290,gray
virizion,290,green
tornadus-incarnate,290,green
thundurus-incarnate,290,blue
reshiram,340,white
zekrom,340,black
landorus-incarnate,300,brown
kyurem,330,gray
keldeo-ordinary,290,yellow
meloetta-aria,270,white
genesect,300,purple
chespin,63,green
quilladin,142,green
chesnaught,239,green
fennekin,61,red
braixen,143,red
delphox,240,red
froakie,63,blue
frogadier,142,blue
greninja,239,blue
bunnelby,47,brown
diggersby,148,brown
fletchling,56,red
fletchinder,134,red
talonflame,175,red
scatterbug,40,black
spewpa,75,black
vivillon,185,white
litleo,74,brown
pyroar,177,brown
flabebe,61,white
floette,130,white
florges,248,white
skiddo,70,brown
gogoat,186,brown
pancham,70,white
pangoro,173,white
furfrou,165,white
espurr,71,gray
meowstic-male,163,blue
honedge,65,brown
doublade,157,brown
aegislash-shield,250,brown
spritzee,68,pink
aromatisse,162,pink
swirlix,68,white
slurpuff,168,white
inkay,58,blue
malamar,169,blue
binacle,61,brown
barbaracle,175,brown
skrelp,64,brown
dragalge,173,brown
clauncher,66,blue
clawitzer,100,blue
helioptile,58,yellow
heliolisk,168,yellow
tyrunt,72,brown
tyrantrum,182,red
amaura,72,blue
aurorus,104,blue
sylveon,184,pink
hawlucha,175,green
dedenne,151,yellow
carbink,100,gray
goomy,60,purple
sliggoo,158,purple
goodra,300,purple
klefki,165,gray
phantump,62,brown
trevenant,166,brown
pumpkaboo-average,67,brown
gourgeist-average,173,brown
bergmite,61,blue
avalugg,180,blue
noibat,49,purple
noivern,187,purple
xerneas,340,blue
yveltal,340,red
zygarde-50,300,green
diancie,300,pink
hoopa,270,purple
volcanion,300,brown
rowlet,64,brown
dartrix,147,brown
decidueye,265,brown
litten,64,red
torracat,147,red
incineroar,265,red
popplio,64,blue
brionne,147,blue
primarina,265,blue
pikipek,53,black
trumbeak,124,black
toucannon,218,black
yungoos,51,brown
gumshoos,146,brown
grubbin,60,gray
charjabug,140,green
vikavolt,250,blue
crabrawler,68,purple
crabominable,167,white
oricorio-baile,167,red
cutiefly,61,yellow
ribombee,162,yellow
rockruff,56,brown
lycanroc-midday,170,brown
wishiwashi-solo,61,blue
mareanie,61,blue
toxapex,173,blue
mudbray,77,brown
mudsdale,175,brown
dewpider,54,green
araquanid,159,green
fomantis,50,pink
lurantis,168,pink
morelull,57,purple
shiinotic,142,purple
salandit,64,black
salazzle,168,black
stufful,68,pink
bewear,175,pink
bounsweet,42,purple
steenee,102,purple
tsareena,255,purple
comfey,170,green
oranguru,172,white
passimian,172,white
wimpod,46,gray
golisopod,186,gray
sandygast,64,brown
palossand,168,brown
pyukumuku,144,black
type-null,107,gray
silvally,285,gray
minior-red-meteor,154,brown
komala,168,blue
turtonator,170,red
togedemaru,152,gray
mimikyu-disguised,167,yellow
bruxish,166,pink
drampa,170,white
dhelmise,181,green
jangmo-o,60,gray
hakamo-o,147,gray
kommo-o,300,gray
tapu-koko,285,yellow
tapu-lele,285,pink
tapu-bulu,285,red
tapu-fini,285,purple
cosmog,40,blue
cosmoem,140,blue
solgaleo,340,white
lunala,340,purple
nihilego,285,white
buzzwole,285,red
pheromosa,285,white
xurkitree,285,black
celesteela,285,green
kartana,285,white
guzzlord,285,black
necrozma,300,black
magearna,300,gray
marshadow,300,gray
poipole,210,purple
naganadel,270,purple
stakataka,285,gray
blacephalon,285,white
zeraora,300,yellow
meltan,150,gray
melmetal,300,gray
grookey,62,green
thwackey,147,green
rillaboom,265,green
scorbunny,62,white
raboot,147,gray
cinderace,265,white
sobble,62,blue
drizzile,147,blue
inteleon,265,blue
skwovet,55,brown
greedent,161,brown
rookidee,49,blue
corvisquire,128,blue
corviknight,248,purple
blipbug,36,blue
dottler,117,yellow
orbeetle,253,red
nickit,49,brown
thievul,159,brown
gossifleur,50,green
eldegoss,161,green
wooloo,122,white
dubwool,172,white
chewtle,57,green
drednaw,170,green
yamper,54,yellow
boltund,172,yellow
rolycoly,48,black
carkol,144,black
coalossal,255,black
applin,52,green
flapple,170,green
appletun,170,green
silicobra,63,green
sandaconda,179,green
cramorant,166,blue
arrokuda,56,brown
barraskewda,172,brown
toxel,48,purple
toxtricity-amped,176,purple
sizzlipede,61,red
centiskorch,184,red
clobbopus,62,brown
grapploct,168,blue
sinistea,62,purple
polteageist,178,purple
hatenna,53,pink
hattrem,130,pink
hatterene,255,pink
impidimp,53,pink
morgrem,130,pink
grimmsnarl,255,purple
obstagoon,260,gray
perrserker,154,brown
cursola,179,white
sirfetchd,177,white
mr-rime,182,purple
runerigus,169,gray
milcery,54,white
alcremie,173,white
falinks,165,yellow
pincurchin,152,purple
snom,37,white
frosmoth,166,white
stonjourner,165,gray
eiscue-ice,165,blue
indeedee-male,166,purple
morpeko-full-belly,153,yellow
cufant,66,yellow
copperajah,175,green
dracozolt,177,green
arctozolt,177,blue
dracovish,177,green
arctovish,177,blue
duraludon,187,white
dreepy,54,green
drakloak,144,green
dragapult,300,green
zacian,335,blue
zamazenta,335,red
eternatus,345,purple
kubfu,77,gray
urshifu-single-strike,275,gray
zarude,300,green
regieleki,290,yellow
regidrago,290,green
glastrier,290,white
spectrier,290,black
calyrex,250,green
wyrdeer,263,gray
kleavor,175,brown
ursaluna,275,brown
basculegion-male,265,green
sneasler,102,gray
overqwil,179,black
enamorus-incarnate,116,pink
sprigatito,62,green
floragato,144,green
meowscarada,265,green
fuecoco,62,red
crocalor,144,red
skeledirge,265,red
quaxly,62,white
quaxwell,144,blue
quaquaval,265,blue
lechonk,51,gray
oinkologne-male,171,gray
tarountula,42,white
spidops,141,green
nymble,42,gray
lokix,158,gray
pawmi,48,yellow
pawmo,123,yellow
pawmot,245,yellow
tandemaus,61,white
maushold-family-of-four,165,white
fidough,62,yellow
dachsbun,167,brown
smoliv,52,green
dolliv,124,green
arboliva,255,green
squawkabilly-green-plumage,146,green
nacli,56,brown
naclstack,124,brown
garganacl,250,brown
charcadet,51,red
armarouge,263,red
ceruledge,263,blue
tadbulb,54,yellow
bellibolt,173,green
wattrel,56,black
kilowattrel,172,yellow
maschiff,68,brown
mabosstiff,177,gray
shroodle,58,gray
grafaiai,170,gray
bramblin,55,brown
brambleghast,168,brown
toedscool,67,yellow
toedscruel,180,black
klawf,158,red
capsakid,61,green
scovillain,170,green
rellor,54,brown
rabsca,165,green
flittle,51,yellow
espathra,168,yellow
tinkatink,59,pink
tinkatuff,133,pink
tinkaton,253,pink
wiglett,49,white
wugtrio,149,red
bombirdier,243,white
finizen,63,blue
palafin-zero,160,blue
varoom,60,gray
revavroom,175,gray
cyclizar,175,green
orthworm,240,pink
glimmet,70,blue
glimmora,184,blue
greavard,58,white
houndstone,171,white
flamigo,175,pink
cetoddle,67,white
cetitan,182,white
veluza,167,gray
dondozo,265,blue
tatsugiri-curly,166,pink
annihilape,268,gray
clodsire,151,brown
farigiraf,260,brown
dudunsparce-two-segment,182,yellow
kingambit,275,black
great-tusk,285,purple
scream-tail,285,pink
brute-bonnet,285,gray
flutter-mane,285,gray
slither-wing,285,red
sandy-shocks,285,gray
iron-treads,285,gray
iron-bundle,285,red
iron-hands,285,gray
iron-jugulis,285,blue
iron-moth,285,yellow
iron-thorns,285,green
frigibax,64,gray
arctibax,148,gray
baxcalibur,300,gray
gimmighoul,60,brown
gholdengo,275,yellow
wo-chien,285,brown
chien-pao,285,white
ting-lu,285,brown
chi-yu,285,red
roaring-moon,295,green
iron-valiant,295,white
koraidon,335,red
miraidon,335,blue
walking-wake,295,blue
iron-leaves,295,green
dipplin,170,green
poltchageist,62,green
sinistcha,178,green
okidogi,278,black
munkidori,278,black
fezandipiti,278,black
ogerpon,275,green
archaludon,300,white
hydrapple,270,green
gouging-fire,295,brown
raging-bolt,295,yellow
iron-boulder,295,gray
iron-crown,295,blue
terapagos,90,blue
pecharunt,300,purple
