,cleaned_name
1077,aggronmega
1078,medichammega
1079,manectricmega
1080,banettemega
1081,absolmega
1082,garchompmega
1083,lucariomega
1084,abomasnowmega
1085,floetteeternal
1086,latiasmega
1087,latiosmega
1088,swampertmega
1089,sceptilemega
1090,sableyemega
1091,altariamega
1092,gallademega
1093,audinomega
1094,sharpedomega
1095,slowbromega
1096,steelixmega
1097,pidgeotmega
1098,glaliemega
1099,dianciemega
1100,metagrossmega
1101,kyogreprimal
1102,groudonprimal
1103,rayquazamega
1104,pikachurockstar
1105,pikachubelle
1106,pikachupopstar
1107,pikachuphd
1108,pikachulibre
1109,pikachucosplay
1110,hoopaunbound
1111,cameruptmega
1112,lopunnymega
1113,salamencemega
1114,beedrillmega
1115,rattataalola
1116,raticatealola
1117,raticatetotemalola
1118,pikachuoriginalcap
1119,pikachuhoenncap
1120,pikachusinnohcap
1121,pikachuunovacap
1122,pikachukaloscap
1123,pikachualolacap
1124,raichualola
1125,sandshrewalola
1126,sandslashalola
1127,vulpixalola
1128,ninetalesalola
1129,diglettalola
1130,dugtrioalola
1131,meowthalola
1132,persianalola
1133,geodudealola
1134,graveleralola
1135,golemalola
1136,grimeralola
1137,mukalola
1138,exeggutoralola
1139,marowakalola
1140,greninjabattlebond
1141,greninjaash
1142,zygarde10powerconstruct
1143,zygarde50powerconstruct
1144,zygardecomplete
1145,gumshoostotem
1146,vikavolttotem
1147,oricoriopompom
1148,oricoriopau
1149,oricoriosensu
1150,lycanrocmidnight
1151,wishiwashischool
1152,lurantistotem
1153,salazzletotem
1154,miniororangemeteor
1155,minioryellowmeteor
1156,miniorgreenmeteor
1157,miniorbluemeteor
1158,miniorindigometeor
1159,miniorvioletmeteor
1160,miniorred
1161,miniororange
1162,minioryellow
1163,miniorgreen
1164,miniorblue
1165,miniorindigo
1166,miniorviolet
1167,mimikyubusted
1168,mimikyutotemdisguised
1169,mimikyutotembusted
1170,kommoototem
1171,magearnaoriginal
1172,pikachupartnercap
1173,marowaktotem
1174,ribombeetotem
1175,rockruffowntempo
1176,lycanrocdusk
1177,araquanidtotem
1178,togedemarutotem
1179,necrozmadusk
1180,necrozmadawn
1181,necrozmaultra
1182,pikachustarter
1183,eeveestarter
1184,pikachuworldcap
1185,meowthgalar
1186,ponytagalar
1187,rapidashgalar
1188,slowpokegalar
1189,slowbrogalar
1190,farfetchdgalar
1191,weezinggalar
1192,mrmimegalar
1193,articunogalar
1194,zapdosgalar
1195,moltresgalar
1196,slowkinggalar
1197,corsolagalar
1198,zigzagoongalar
1199,linoonegalar
1200,darumakagalar
1201,darmanitangalarstandard
1202,darmanitangalarzen
1203,yamaskgalar
1204,stunfiskgalar
1205,zygarde10
1206,cramorantgulping
1207,cramorantgorging
1208,toxtricitylowkey
1209,eiscuenoice
1210,indeedeefemale
1211,morpekohangry
1212,zaciancrowned
1213,zamazentacrowned
1214,eternatuseternamax
1215,urshifurapidstrike
1216,zarudedada
1217,calyrexice
1218,calyrexshadow
1219,venusaurgmax
1220,charizardgmax
1221,blastoisegmax
1222,butterfreegmax
1223,pikachugmax
1224,meowthgmax
1225,machampgmax
1226,gengargmax
1227,kinglergmax
1228,laprasgmax
1229,eeveegmax
1230,snorlaxgmax
1231,garbodorgmax
1232,melmetalgmax
1233,rillaboomgmax
1234,cinderacegmax
1235,inteleongmax
1236,corviknightgmax
1237,orbeetlegmax
1238,drednawgmax
1239,coalossalgmax
1240,flapplegmax
1241,appletungmax
1242,sandacondagmax
1243,toxtricityampedgmax
1244,centiskorchgmax
1245,hatterenegmax
1246,grimmsnarlgmax
1247,alcremiegmax
1248,copperajahgmax
1249,duraludongmax
1250,urshifusinglestrikegmax
1251,urshifurapidstrikegmax
1252,toxtricitylowkeygmax
1253,growlithehisui
1254,arcaninehisui
1255,voltorbhisui
1256,electrodehisui
1257,typhlosionhisui
1258,qwilfishhisui
1259,sneaselhisui
1260,samurotthisui
1261,lilliganthisui
1262,zoruahisui
1263,zoroarkhisui
1264,braviaryhisui
1265,sliggoohisui
1266,goodrahisui
1267,avalugghisui
1268,decidueyehisui
1269,dialgaorigin
1270,palkiaorigin
1271,basculinwhitestriped
1272,basculegionfemale
1273,enamorustherian
1274,taurospaldeacombatbreed
1275,taurospaldeablazebreed
1276,taurospaldeaaquabreed
1277,wooperpaldea
1278,oinkolognefemale
1279,dudunsparcethreesegment
1280,palafinhero
1281,mausholdfamilyofthree
1282,tatsugiridroopy
1283,tatsugiristretchy
1284,squawkabillyblueplumage
1285,squawkabillyyellowplumage
1286,squawkabillywhiteplumage
1287,gimmighoulroaming
1288,koraidonlimitedbuild
1289,koraidonsprintingbuild
1290,koraidonswimmingbuild
1291,koraidonglidingbuild
1292,miraidonlowpowermode
1293,miraidondrivemode
1294,miraidonaquaticmode
1295,miraidonglidemode
1296,ursalunabloodmoon
1297,ogerponwellspringmask
1298,ogerponhearthflamemask
1299,ogerponcornerstonemask
1300,terapagosterastal
1301,terapagosstellar
